,model_name,best_params,features_name,best_cv_score
0,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",scaled,0.7892477020115491
1,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",scaled_pca,0.7523697816399505
2,Logistic Regression,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",SMOTE_scaled,0.8633700938056258
3,Decision Tree,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",scaled,0.7455334241136772
4,Decision Tree,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",scaled_pca,0.6276179915197572
5,Decision Tree,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",SMOTE_scaled,0.8727573141744485
6,Random Forest,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",scaled,0.7835543141322466
7,Random Forest,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",scaled_pca,0.7139833546672619
8,Random Forest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",SMOTE_scaled,0.911915463721674
9,k-Nearest Neighbors,"{'algorithm': 'auto', 'n_neighbors': 3}",scaled,0.5087854857407855
10,k-Nearest Neighbors,"{'algorithm': 'auto', 'n_neighbors': 7}",scaled_pca,0.5723483299714633
11,k-Nearest Neighbors,"{'algorithm': 'auto', 'n_neighbors': 3}",SMOTE_scaled,0.8416155802222536
12,Support Vector Machine,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",scaled,0.7901402796607845
13,Support Vector Machine,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",scaled_pca,0.7446657014679403
14,Support Vector Machine,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",SMOTE_scaled,0.9063085500719585
15,Neural Network,"{'activation': 'relu', 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",scaled,0.7854742013889716
16,Neural Network,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",scaled_pca,0.7565640078070985
17,Neural Network,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",SMOTE_scaled,0.9224289742019789
